2024-01-31 00:07:27.674 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=9, num=34, color=ball-red, sx=羊/木)
2024-01-31 00:07:27.674 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,142] - ---------------------
2024-01-31 00:07:27.674 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=10, num=03, color=ball-blue, sx=虎/水)
2024-01-31 00:07:27.674 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=10, num=14, color=ball-blue, sx=兔/金)
2024-01-31 00:07:27.674 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=10, num=17, color=ball-green, sx=鼠/土)
2024-01-31 00:07:27.674 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=10, num=18, color=ball-red, sx=猪/木)
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=10, num=24, color=ball-red, sx=蛇/水)
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=10, num=33, color=ball-green, sx=猴/水)
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=10, num=32, color=ball-green, sx=鸡/水)
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,142] - ---------------------
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=11, num=02, color=ball-red, sx=兔/水)
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=11, num=07, color=ball-red, sx=狗/金)
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=11, num=09, color=ball-blue, sx=猴/土)
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=11, num=20, color=ball-blue, sx=鸡/火)
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=11, num=24, color=ball-red, sx=蛇/水)
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=11, num=26, color=ball-blue, sx=兔/木)
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=11, num=10, color=ball-blue, sx=羊/水)
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,142] - ---------------------
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=12, num=04, color=ball-blue, sx=牛/木)
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=12, num=23, color=ball-red, sx=马/金)
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=12, num=24, color=ball-red, sx=蛇/水)
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=12, num=25, color=ball-blue, sx=龙/水)
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=12, num=27, color=ball-green, sx=虎/木)
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=12, num=33, color=ball-green, sx=猴/水)
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=12, num=14, color=ball-blue, sx=兔/金)
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,142] - ---------------------
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=13, num=01, color=ball-red, sx=龙/土)
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=13, num=18, color=ball-red, sx=猪/木)
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=13, num=19, color=ball-red, sx=狗/木)
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=13, num=20, color=ball-blue, sx=鸡/火)
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=13, num=27, color=ball-green, sx=虎/木)
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=13, num=30, color=ball-red, sx=猪/土)
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=13, num=03, color=ball-blue, sx=虎/水)
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,142] - ---------------------
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=14, num=08, color=ball-red, sx=鸡/土)
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=14, num=12, color=ball-red, sx=蛇/火)
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=14, num=14, color=ball-blue, sx=兔/金)
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=14, num=22, color=ball-green, sx=羊/金)
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=14, num=25, color=ball-blue, sx=龙/水)
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=14, num=34, color=ball-red, sx=羊/木)
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=14, num=36, color=ball-blue, sx=蛇/金)
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,142] - ---------------------
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=15, num=01, color=ball-red, sx=龙/土)
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=15, num=04, color=ball-blue, sx=牛/木)
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=15, num=08, color=ball-red, sx=鸡/土)
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=15, num=14, color=ball-blue, sx=兔/金)
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=15, num=22, color=ball-green, sx=羊/金)
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=15, num=25, color=ball-blue, sx=龙/水)
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=15, num=19, color=ball-red, sx=狗/木)
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,142] - ---------------------
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=16, num=06, color=ball-green, sx=猪/金)
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=16, num=15, color=ball-blue, sx=虎/金)
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=16, num=17, color=ball-green, sx=鼠/土)
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=16, num=18, color=ball-red, sx=猪/木)
2024-01-31 00:07:27.675 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=16, num=28, color=ball-green, sx=牛/火)
2024-01-31 00:07:27.676 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=16, num=32, color=ball-green, sx=鸡/水)
